	YW1	YW2	YW3	YW4	YW5	YW6	YW7	YW8
ENSG00000200079	0	0	0	0	0	0	0	0
ENSG00000200084	0	0	0	0	0	0	0	0
ENSG00000200085	0	0	0	0	0	0	0	0
ENSG00000200086	0	0	0	0	0	1	0	0
ENSG00000200087	17	9	14	14	9	30	15	19
ENSG00000200089	0	0	0	0	0	0	0	0
ENSG00000200090	0	0	0	0	0	0	0	0
ENSG00000200091	0	0	0	0	0	0	0	0
ENSG00000200095	6	4	10	13	3	5	4	7
ENSG00000200097	0	0	0	0	0	0	0	0
ENSG00000200101	0	0	0	0	0	0	0	0
ENSG00000200102	0	0	0	0	0	0	0	0
ENSG00000200105	0	0	0	0	0	0	0	0
ENSG00000200106	0	0	0	0	0	0	0	0
ENSG00000200107	0	0	0	0	0	0	0	0
ENSG00000200108	0	0	0	0	0	0	0	0
ENSG00000200112	0	0	0	0	0	0	0	0
ENSG00000200113	0	0	0	0	0	0	0	0
ENSG00000200114	0	0	0	0	0	0	0	0
ENSG00000200118	0	0	0	0	0	0	0	0
ENSG00000200120	1	2	2	1	0	4	2	2
ENSG00000200121	0	0	0	0	0	0	0	0
ENSG00000200131	0	0	0	0	0	0	0	0
ENSG00000200132	0	0	0	0	0	0	0	0
ENSG00000200135	0	3	0	0	0	0	3	0
ENSG00000200138	0	0	0	0	0	0	0	0
ENSG00000200139	0	0	0	0	0	0	0	0
ENSG00000200142	1	2	4	0	0	2	0	0
ENSG00000200146	0	0	0	0	0	0	0	0
ENSG00000200150	0	0	0	0	0	0	0	0
ENSG00000200151	0	0	0	1	0	0	0	0
ENSG00000200152	0	0	0	0	0	0	0	1
ENSG00000200153	0	1	2	0	0	0	0	0
ENSG00000200156	0	0	1	0	2	0	0	0
ENSG00000200161	0	0	0	0	0	0	0	0
ENSG00000200162	0	0	0	0	0	0	0	0
ENSG00000200163	0	0	0	0	0	0	0	0
ENSG00000200164	0	0	0	0	0	1	0	0
ENSG00000200168	0	0	0	0	0	0	0	0
ENSG00000200169	0	0	1	1	1	0	3	1
ENSG00000200170	18	16	15	18	12	14	12	12
ENSG00000200171	0	0	0	0	0	0	0	0
ENSG00000200174	0	0	0	0	0	0	0	0
ENSG00000200175	0	0	0	2	1	1	0	0
ENSG00000200176	0	1	0	0	0	0	2	0
ENSG00000200179	0	0	0	0	0	0	0	0
ENSG00000200183	0	1	0	1	1	0	0	1
ENSG00000200184	0	0	0	0	0	0	0	0
ENSG00000200189	0	0	0	0	0	0	0	0
ENSG00000200191	0	0	0	0	0	0	0	0
ENSG00000200197	0	0	0	0	0	0	0	0
ENSG00000200198	0	0	0	0	0	0	0	0
ENSG00000200201	0	1	0	2	0	0	0	0
ENSG00000200204	0	0	0	0	0	0	0	0
ENSG00000200206	0	0	0	0	0	0	0	0
ENSG00000200208	0	0	0	0	0	0	0	0
ENSG00000200209	0	0	1	0	0	0	0	0
ENSG00000200211	0	0	0	0	0	0	0	0
ENSG00000200213	0	0	0	0	0	0	0	0
ENSG00000200215	0	0	0	0	0	0	0	0
ENSG00000200216	0	0	0	0	0	0	0	0
ENSG00000200217	0	0	0	0	0	0	0	0
ENSG00000200218	0	0	1	0	0	0	0	1
ENSG00000200220	0	0	0	0	0	0	0	0
ENSG00000200222	0	0	0	0	0	0	0	0
ENSG00000200224	0	0	0	0	0	0	0	0
ENSG00000200225	0	0	0	2	0	0	0	0
ENSG00000200227	0	0	0	0	0	0	0	0
ENSG00000200231	0	0	0	0	0	0	0	0
ENSG00000200235	0	0	0	0	0	0	0	0
ENSG00000200237	3	1	1	0	1	1	0	0
ENSG00000200238	0	0	0	0	0	0	0	0
ENSG00000200241	1	0	1	0	0	2	0	1
ENSG00000200243	0	0	0	0	0	0	0	0
ENSG00000200246	0	0	0	0	0	0	0	0
ENSG00000200247	0	0	0	0	0	0	0	0
ENSG00000200248	0	0	0	0	0	0	0	0
ENSG00000200250	0	1	1	2	0	0	0	0
ENSG00000200252	0	0	0	0	0	0	0	0
ENSG00000200253	1	3	0	3	3	0	1	2
ENSG00000200254	0	0	0	0	1	0	0	0
ENSG00000200256	0	0	0	0	0	0	0	0
ENSG00000200257	2	2	6	7	0	4	4	0
ENSG00000200259	0	0	0	0	0	0	0	0
ENSG00000200261	0	0	0	0	0	0	0	0
ENSG00000200262	0	0	0	1	0	0	0	0
ENSG00000200267	0	0	0	0	0	0	0	0
ENSG00000200269	0	0	0	0	0	0	0	0
ENSG00000200274	0	0	0	0	0	0	0	0
ENSG00000200275	0	0	0	0	0	0	0	0
ENSG00000200278	1	1	5	1	1	2	4	1
ENSG00000200279	0	0	0	0	0	0	0	0
ENSG00000200281	0	0	0	0	0	0	0	0
ENSG00000200283	0	0	0	0	0	0	0	0
ENSG00000200287	0	0	0	0	0	0	0	0
ENSG00000200288	0	0	0	0	0	0	0	0
ENSG00000200291	0	0	1	3	0	1	1	0
ENSG00000200293	0	0	0	0	0	0	0	0
ENSG00000200294	0	0	0	0	0	0	0	0
ENSG00000200295	0	0	0	0	0	0	0	0
ENSG00000200296	0	0	0	0	0	0	0	0
ENSG00000200298	0	0	0	0	0	0	0	0
ENSG00000200301	0	1	0	0	0	0	0	1
ENSG00000200303	0	0	0	0	0	0	0	0
ENSG00000200304	0	2	0	0	0	0	1	0
ENSG00000200305	0	0	0	0	0	0	0	0
ENSG00000200309	0	0	0	0	0	0	0	0
ENSG00000200310	0	0	0	0	0	0	0	0
ENSG00000200312	0	0	0	0	0	0	0	0
ENSG00000200313	0	0	0	0	0	0	0	0
ENSG00000200314	0	0	0	0	0	0	0	0
ENSG00000200318	0	0	0	0	0	0	0	0
ENSG00000200320	0	0	0	0	0	0	0	0
ENSG00000200325	0	0	0	0	0	0	0	0
ENSG00000200326	0	0	0	0	0	0	0	0
ENSG00000200327	0	0	0	0	0	0	0	0
ENSG00000200331	0	0	1	0	0	0	0	0
ENSG00000200332	0	0	0	0	0	0	0	0
ENSG00000200334	0	0	0	0	0	0	0	0
ENSG00000200336	0	0	0	0	0	0	0	0
ENSG00000200338	0	0	0	0	0	0	0	0
ENSG00000200340	0	0	0	0	0	0	0	0
ENSG00000200343	0	0	0	0	0	0	0	0
ENSG00000200344	0	0	0	0	0	0	0	0
ENSG00000200345	0	1	0	0	0	0	0	0
ENSG00000200350	3	5	8	1	1	0	1	1
ENSG00000200351	0	0	0	0	0	0	0	0
ENSG00000200354	6	0	14	12	3	5	4	11
ENSG00000200355	0	0	0	0	0	0	0	0
ENSG00000200356	1	0	0	0	0	0	0	0
ENSG00000200360	0	0	0	0	0	0	0	0
ENSG00000200361	0	0	0	0	0	0	0	0
ENSG00000200366	0	0	0	0	0	0	0	0
ENSG00000200367	0	0	0	0	0	0	0	0
ENSG00000200369	0	0	0	0	0	0	0	0
ENSG00000200370	0	0	0	0	0	0	0	0
ENSG00000200372	0	0	0	0	0	0	0	0
ENSG00000200376	0	0	0	0	0	0	0	0
ENSG00000200377	0	0	0	0	0	0	0	0
ENSG00000200378	0	0	0	0	0	0	0	0
ENSG00000200379	0	0	0	0	0	0	0	0
ENSG00000200381	0	0	0	0	0	0	0	0
ENSG00000200385	0	0	0	0	1	0	1	0
ENSG00000200388	0	0	0	0	0	0	0	0
ENSG00000200389	0	0	0	0	0	0	0	0
ENSG00000200390	0	0	0	0	0	0	0	0
ENSG00000200391	0	0	1	1	2	0	0	0
ENSG00000200393	0	0	0	0	0	0	0	0
ENSG00000200394	6	10	9	7	5	9	6	4
ENSG00000200397	1	6	9	1	0	6	3	1
ENSG00000200398	0	0	0	0	0	0	0	0
ENSG00000200403	6	7	19	21	13	15	8	12
ENSG00000200406	0	0	0	0	0	0	0	0
ENSG00000200407	0	0	0	0	0	0	0	0
ENSG00000200408	0	0	0	0	0	0	0	0
ENSG00000200411	0	0	0	0	0	0	0	0
ENSG00000200413	0	0	0	0	0	0	0	0
ENSG00000200418	0	0	0	0	0	0	0	0
ENSG00000200419	0	0	0	0	0	0	1	0
ENSG00000200421	0	0	0	0	0	0	0	0
ENSG00000200422	0	0	0	0	0	0	0	0
ENSG00000200424	0	0	0	0	0	0	0	0
ENSG00000200427	0	0	0	0	0	0	0	0
ENSG00000200428	5	2	3	3	0	2	6	1
ENSG00000200431	0	0	0	0	0	0	0	0
ENSG00000200432	0	0	0	0	0	0	0	0
ENSG00000200434	0	0	0	0	0	0	0	0
ENSG00000200436	0	0	0	0	0	0	0	0
ENSG00000200437	0	0	0	0	0	0	0	0
ENSG00000200443	0	0	0	0	0	0	0	0
ENSG00000200444	0	0	0	0	0	0	0	0
ENSG00000200446	0	0	0	0	0	0	0	0
ENSG00000200448	0	0	0	1	0	0	0	0
ENSG00000200455	0	0	0	0	0	0	0	0
ENSG00000200456	0	0	0	0	0	0	0	0
ENSG00000200462	0	0	0	0	0	0	0	0
ENSG00000200463	0	0	0	0	0	0	0	0
ENSG00000200468	0	0	0	0	0	0	0	0
ENSG00000200469	0	0	0	0	0	0	0	0
ENSG00000200471	0	0	0	0	0	0	0	0
ENSG00000200472	0	0	0	0	0	0	0	0
ENSG00000200473	0	0	0	0	0	0	0	0
ENSG00000200475	0	0	0	0	0	0	0	0
ENSG00000200478	0	0	0	0	0	0	0	0
ENSG00000200480	0	0	0	0	0	0	0	0
ENSG00000200483	0	0	0	0	0	0	0	0
ENSG00000200484	0	0	0	0	0	0	0	0
ENSG00000200485	0	0	0	0	0	0	0	0
ENSG00000200486	0	0	0	0	0	0	0	0
ENSG00000200487	0	0	0	0	0	0	0	0
ENSG00000200488	1	0	0	0	0	0	0	0
ENSG00000200492	0	0	0	0	0	0	0	0
ENSG00000200494	0	0	0	0	0	0	0	0
ENSG00000200495	0	0	0	0	0	0	0	0
ENSG00000200496	0	0	0	0	0	0	0	0
ENSG00000200502	1	2	7	6	0	3	3	3
ENSG00000200503	0	0	0	0	0	0	0	0
ENSG00000200506	0	0	0	0	0	0	0	0
ENSG00000200508	0	0	0	0	0	0	0	0
ENSG00000200516	0	0	0	0	0	0	0	0
ENSG00000200520	0	0	0	4	0	0	1	0
ENSG00000200521	0	0	0	0	0	0	0	0
ENSG00000200522	0	1	0	0	0	0	0	0
ENSG00000200525	3	1	4	6	4	0	0	3
ENSG00000200526	0	0	0	0	0	0	0	0
ENSG00000200527	0	0	0	0	0	0	0	0
ENSG00000200528	1	1	0	0	2	1	2	1
ENSG00000200530	0	0	0	0	0	0	0	0
ENSG00000200534	40	35	36	34	40	45	37	37
ENSG00000200536	0	0	0	0	1	0	0	0
ENSG00000200537	0	0	0	0	0	0	0	0
ENSG00000200538	0	0	0	0	0	0	0	0
ENSG00000200544	0	0	0	0	0	0	0	0
ENSG00000200545	0	0	0	0	0	0	0	0
ENSG00000200547	0	0	0	0	0	0	0	0
ENSG00000200550	0	3	4	5	1	3	4	3
ENSG00000200552	0	0	0	0	0	0	0	0
ENSG00000200553	0	0	0	0	0	0	0	0
ENSG00000200554	0	0	0	0	0	0	0	0
ENSG00000200555	0	0	0	0	0	0	0	0
ENSG00000200556	0	1	3	2	0	2	0	0
ENSG00000200558	0	0	0	0	0	0	0	0
ENSG00000200560	0	0	0	0	0	0	0	0
ENSG00000200563	1	0	0	0	1	0	0	0
ENSG00000200564	0	0	0	0	0	0	0	0
ENSG00000200566	0	0	0	0	0	0	0	0
ENSG00000200570	0	0	0	0	0	0	0	0
ENSG00000200571	0	1	1	0	0	0	2	1
ENSG00000200572	0	0	0	0	0	0	0	0
ENSG00000200575	0	0	0	0	0	0	0	1
ENSG00000200579	0	0	0	0	0	0	1	0
ENSG00000200587	0	0	0	0	0	0	0	0
ENSG00000200591	0	0	0	0	0	0	0	0
ENSG00000200593	0	0	0	0	0	0	0	0
ENSG00000200594	0	0	0	0	0	0	0	0
ENSG00000200597	0	0	1	0	0	0	1	0
ENSG00000200600	0	0	0	0	0	0	0	0
ENSG00000200601	0	0	0	0	0	0	0	0
ENSG00000200605	0	0	1	0	0	0	0	0
ENSG00000200608	0	0	0	0	0	0	0	0
ENSG00000200610	0	0	0	0	0	0	0	0
ENSG00000200612	0	0	0	0	0	0	0	0
ENSG00000200613	0	0	0	0	0	0	0	0
ENSG00000200615	0	0	0	0	0	0	0	0
ENSG00000200616	0	0	0	0	0	0	0	0
ENSG00000200619	0	0	0	0	0	0	0	0
ENSG00000200620	1	0	11	2	1	0	0	6
ENSG00000200622	0	0	0	0	0	0	0	0
ENSG00000200623	0	0	0	0	0	0	0	0
ENSG00000200624	0	0	0	0	0	0	0	0
ENSG00000200626	0	0	0	0	0	0	0	0
ENSG00000200629	0	0	3	5	1	2	3	1
ENSG00000200630	0	0	0	0	0	0	0	0
ENSG00000200632	0	0	0	0	0	0	0	0
ENSG00000200635	0	0	0	0	0	0	0	0
ENSG00000200636	0	0	0	0	0	0	0	0
ENSG00000200637	0	0	0	0	0	0	0	0
ENSG00000200638	0	0	0	0	0	0	0	0
ENSG00000200645	0	0	0	0	0	0	0	0
ENSG00000200646	0	0	0	0	0	0	0	0
ENSG00000200648	0	0	0	0	0	0	0	0
ENSG00000200650	0	0	0	0	0	0	0	0
ENSG00000200651	5	4	7	7	5	2	0	0
ENSG00000200652	0	0	0	0	0	0	0	0
ENSG00000200653	0	0	0	0	0	0	0	0
ENSG00000200656	0	0	0	0	0	0	0	0
ENSG00000200661	0	0	0	0	0	0	0	0
ENSG00000200664	0	0	0	0	0	0	0	0
ENSG00000200665	0	0	0	0	0	0	0	0
ENSG00000200670	0	1	0	0	0	0	0	0
ENSG00000200673	0	0	0	0	0	0	0	0
ENSG00000200674	2	1	9	3	3	0	2	1
ENSG00000200677	0	0	0	0	0	0	0	0
ENSG00000200680	0	0	0	0	0	0	0	0
ENSG00000200681	0	0	0	0	0	0	0	0
ENSG00000200683	1	1	0	1	0	0	1	4
ENSG00000200685	0	0	0	0	0	0	0	0
ENSG00000200686	0	0	0	0	0	0	0	0
ENSG00000200687	0	0	0	0	0	0	0	0
ENSG00000200688	0	0	0	0	0	0	0	0
ENSG00000200693	0	0	0	0	0	0	0	0
ENSG00000200701	0	0	0	0	0	0	0	0
ENSG00000200702	0	0	0	0	0	0	0	0
ENSG00000200703	0	0	0	0	0	0	0	0
ENSG00000200706	0	0	3	0	0	0	0	0
ENSG00000200708	0	0	0	0	0	0	0	0
ENSG00000200709	0	0	0	0	0	0	0	0
ENSG00000200711	0	0	0	0	0	0	0	0
ENSG00000200713	0	0	0	0	0	0	0	0
ENSG00000200714	0	0	0	0	0	0	0	0
ENSG00000200718	0	0	0	0	0	0	0	0
ENSG00000200719	0	0	0	0	0	2	1	0
ENSG00000200720	0	0	0	0	0	0	0	0
ENSG00000200726	0	0	0	0	0	0	0	0
ENSG00000200728	0	0	0	0	0	0	0	0
ENSG00000200731	1	4	3	2	0	1	0	3
ENSG00000200732	0	0	0	0	0	0	0	0
ENSG00000200733	0	0	0	0	0	0	0	0
ENSG00000200737	7	6	10	18	9	6	14	8
ENSG00000200738	0	0	0	0	0	0	0	0
ENSG00000200741	0	0	2	0	0	0	0	0
ENSG00000200742	2	6	0	3	0	3	8	1
ENSG00000200745	0	0	0	0	0	0	0	0
ENSG00000200750	0	0	0	0	0	0	0	0
ENSG00000200752	0	0	0	0	0	0	0	0
ENSG00000200753	0	0	0	0	0	0	0	0
ENSG00000200754	0	0	0	0	0	0	0	0
ENSG00000200755	0	0	2	0	0	0	0	0
ENSG00000200756	0	0	0	0	0	0	0	0
ENSG00000200757	0	0	0	0	0	0	0	0
ENSG00000200759	0	0	0	0	0	0	0	0
ENSG00000200761	0	0	0	0	0	0	0	0
ENSG00000200763	0	0	0	0	0	0	0	0
ENSG00000200764	0	0	0	0	0	0	0	0
ENSG00000200769	10	13	10	8	15	2	14	6
ENSG00000200774	0	0	0	0	0	0	0	0
ENSG00000200779	0	0	0	0	0	0	0	0
ENSG00000200783	0	0	1	0	0	1	0	1
ENSG00000200785	0	0	0	0	0	0	0	0
ENSG00000200786	0	0	0	0	0	0	0	0
ENSG00000200788	4	0	3	5	1	1	1	4
ENSG00000200789	0	2	1	0	0	0	0	3
ENSG00000200790	0	0	0	0	0	0	0	0
ENSG00000200792	5	7	0	1	0	0	2	2
ENSG00000200794	0	0	0	0	0	0	0	0
ENSG00000200795	2	0	0	1	2	2	1	1
ENSG00000200796	0	0	0	0	0	0	0	0
ENSG00000200799	0	0	1	0	1	0	0	0
ENSG00000200800	0	0	0	0	0	0	0	0
ENSG00000200801	0	0	0	0	0	0	0	0
ENSG00000200806	0	0	0	0	0	0	0	0
ENSG00000200807	0	0	0	0	0	0	0	0
ENSG00000200812	0	0	0	0	0	0	0	0
ENSG00000200814	0	0	0	0	0	0	0	0
ENSG00000200815	0	0	0	0	0	0	0	0
ENSG00000200816	0	1	0	0	0	3	1	0
ENSG00000200817	0	0	0	0	0	0	0	0
ENSG00000200818	0	0	0	0	0	0	0	0
ENSG00000200822	0	0	0	0	0	0	0	0
ENSG00000200823	0	0	0	0	0	0	0	0
ENSG00000200827	0	0	0	0	0	0	0	0
ENSG00000200829	0	0	0	0	0	0	0	1
ENSG00000200830	0	0	0	0	0	0	0	0
ENSG00000200831	0	0	0	0	0	0	0	0
ENSG00000200832	0	0	0	0	0	0	0	0
ENSG00000200834	0	0	1	1	1	1	0	2
ENSG00000200839	0	0	0	0	0	0	0	0
ENSG00000200840	0	2	2	1	0	0	0	1
ENSG00000200842	0	0	0	0	0	0	0	0
ENSG00000200847	0	0	0	1	0	0	0	0
ENSG00000200849	0	0	0	0	0	0	0	0
ENSG00000200852	0	0	0	0	0	0	0	0
ENSG00000200855	1	0	1	2	0	1	0	0
ENSG00000200857	0	0	0	0	0	0	0	0
ENSG00000200860	0	0	0	0	0	0	0	0
ENSG00000200867	0	0	0	0	0	0	0	0
ENSG00000200869	0	0	0	0	0	0	0	0
ENSG00000200871	2	0	0	0	0	2	2	0
ENSG00000200872	0	0	0	0	0	0	0	0
ENSG00000200873	0	0	0	0	1	0	0	0
ENSG00000200874	1	0	1	0	2	0	0	1
ENSG00000200875	0	0	0	0	0	0	0	0
ENSG00000200877	0	0	0	0	0	0	0	0
ENSG00000200879	2	1	0	2	1	8	2	10
ENSG00000200882	0	1	0	1	0	1	0	0
ENSG00000200883	0	0	0	0	0	0	0	0
ENSG00000200884	0	0	0	0	0	0	0	0
ENSG00000200885	0	0	0	0	0	0	0	0
ENSG00000200887	0	0	1	0	0	0	1	0
ENSG00000200888	3	0	2	3	1	0	0	2
ENSG00000200889	0	0	0	0	0	0	0	0
ENSG00000200890	0	0	0	0	0	0	0	0
ENSG00000200891	0	0	0	0	0	0	0	0
ENSG00000200893	0	0	1	0	0	0	0	0
ENSG00000200895	0	2	0	0	2	0	0	0
ENSG00000200897	0	0	0	1	0	0	0	0
ENSG00000200898	0	0	0	0	0	0	0	0
ENSG00000200902	0	0	0	0	0	0	0	0
ENSG00000200903	0	0	0	0	0	0	0	0
ENSG00000200906	0	0	0	0	0	0	0	0
ENSG00000200913	15	21	25	12	21	21	17	25
ENSG00000200914	4	4	4	3	0	3	2	0
ENSG00000200917	0	0	0	0	0	1	0	0
ENSG00000200922	0	0	4	1	0	0	0	0
ENSG00000200924	0	0	0	0	0	0	0	0
ENSG00000200926	0	0	0	0	0	0	0	0
ENSG00000200935	0	0	0	0	0	0	0	0
ENSG00000200941	0	0	0	0	0	0	0	0
ENSG00000200942	0	0	1	1	0	1	1	0
ENSG00000200949	0	0	0	0	0	0	0	0
ENSG00000200953	1	2	1	2	9	2	1	1
ENSG00000200957	0	0	0	0	0	0	0	0
ENSG00000200959	0	0	0	0	0	0	0	0
ENSG00000200963	0	0	0	0	0	0	0	0
ENSG00000200966	0	0	0	0	0	0	0	0
ENSG00000200969	0	0	0	0	0	0	0	0
ENSG00000200972	0	0	0	0	0	0	0	0
ENSG00000200974	0	0	2	0	0	0	0	1
ENSG00000200975	0	0	0	0	0	0	0	0
ENSG00000200976	0	0	0	0	0	0	0	0
ENSG00000200982	0	0	0	0	0	0	0	0
ENSG00000200983	0	0	0	0	0	0	0	0
ENSG00000200985	0	0	0	0	0	0	0	0
ENSG00000200986	0	0	0	0	0	0	0	0
ENSG00000200987	0	0	0	0	0	0	0	0
ENSG00000200991	0	0	0	0	0	0	0	0
ENSG00000200997	5	0	0	1	3	4	2	1
ENSG00000200998	0	0	0	0	0	0	0	0
ENSG00000200999	0	0	1	1	0	1	1	0
ENSG00000201000	0	0	0	0	0	0	0	0
ENSG00000201001	0	0	0	0	0	0	0	0
ENSG00000201003	5	5	4	4	7	3	1	6
ENSG00000201006	0	1	0	0	0	0	0	0
ENSG00000201009	0	0	0	0	0	0	0	0
ENSG00000201010	0	0	0	0	0	0	0	0
ENSG00000201012	0	0	5	1	0	0	0	0
ENSG00000201013	0	0	0	0	0	0	0	0
ENSG00000201014	0	0	0	0	0	0	0	0
ENSG00000201015	0	0	0	0	0	0	0	0
ENSG00000201016	0	0	0	0	0	0	0	0
ENSG00000201021	0	0	0	0	0	0	0	0
ENSG00000201023	0	0	0	1	0	0	0	0
ENSG00000201025	0	0	0	0	0	0	0	0
ENSG00000201026	0	0	0	0	0	0	0	0
ENSG00000201027	0	0	0	0	0	0	0	0
ENSG00000201028	0	0	0	0	0	0	0	0
ENSG00000201031	0	0	0	0	0	0	0	0
ENSG00000201032	0	0	0	0	0	0	0	0
ENSG00000201033	0	0	0	0	0	0	0	0
ENSG00000201034	0	0	0	0	0	0	0	0
ENSG00000201035	0	0	0	0	0	0	0	0
ENSG00000201036	0	0	0	0	0	0	0	0
ENSG00000201041	0	1	0	0	0	1	0	0
ENSG00000201042	0	0	0	0	0	0	0	0
ENSG00000201044	0	0	0	1	0	0	0	0
ENSG00000201047	1	0	3	0	0	0	0	0
ENSG00000201048	0	0	0	0	0	0	0	0
ENSG00000201050	0	0	0	0	0	0	0	0
ENSG00000201059	0	0	0	0	0	0	0	0
ENSG00000201065	0	0	0	0	0	0	0	0
ENSG00000201066	0	0	0	0	0	0	0	0
ENSG00000201070	0	0	0	0	0	0	0	0
ENSG00000201071	0	0	0	0	0	0	0	0
ENSG00000201074	0	0	0	0	0	0	0	0
ENSG00000201075	1	2	1	0	0	0	0	3
ENSG00000201076	0	1	2	0	0	0	0	0
ENSG00000201077	0	2	2	0	0	0	1	0
ENSG00000201078	0	0	0	0	0	0	0	0
ENSG00000201084	0	0	0	0	0	0	0	0
ENSG00000201085	0	0	0	0	0	0	0	0
ENSG00000201086	0	0	0	0	0	0	0	0
ENSG00000201088	0	0	0	0	0	0	0	0
ENSG00000201095	0	0	0	0	0	0	0	0
ENSG00000201096	0	0	0	0	0	0	0	0
ENSG00000201097	0	0	0	0	0	0	0	0
ENSG00000201098	1	0	0	0	0	0	0	2
ENSG00000201102	0	0	0	0	0	0	0	0
ENSG00000201104	0	0	0	0	0	0	0	0
ENSG00000201109	0	0	0	0	0	0	0	0
ENSG00000201113	0	0	0	0	0	0	0	0
ENSG00000201114	0	0	0	0	0	0	0	0
ENSG00000201118	0	0	0	0	0	0	0	0
ENSG00000201119	0	0	0	0	0	0	0	0
ENSG00000201121	1	2	6	2	0	0	0	2
ENSG00000201129	1	0	0	1	0	0	0	0
ENSG00000201133	0	0	0	0	0	0	0	0
ENSG00000201134	0	0	0	0	0	0	0	0
ENSG00000201135	0	0	0	0	0	0	0	0
ENSG00000201136	0	0	3	4	0	0	0	0
ENSG00000201140	0	0	0	0	0	0	0	0
ENSG00000201142	0	0	0	0	0	0	0	0
ENSG00000201143	0	0	0	0	0	0	0	0
ENSG00000201145	0	0	0	0	0	0	0	0
ENSG00000201148	0	0	0	0	0	0	0	0
ENSG00000201151	2	7	5	1	2	4	3	7
ENSG00000201153	0	0	0	0	0	0	0	0
ENSG00000201155	0	0	0	0	0	0	0	0
ENSG00000201157	0	0	0	0	1	0	0	0
ENSG00000201160	0	0	1	0	0	0	0	0
ENSG00000201161	0	0	0	0	0	0	0	0
ENSG00000201162	0	0	0	0	0	0	0	0
ENSG00000201164	0	0	0	0	0	0	0	0
ENSG00000201165	0	0	0	0	0	0	0	0
ENSG00000201168	0	0	0	0	0	0	0	0
ENSG00000201170	0	0	0	0	0	0	0	0
ENSG00000201176	0	1	1	0	0	0	0	0
ENSG00000201178	0	0	0	0	0	0	0	2
ENSG00000201179	0	0	0	0	0	0	0	0
ENSG00000201180	0	0	0	0	0	0	0	0
ENSG00000201182	2	0	1	2	0	0	1	0
ENSG00000201183	0	2	1	4	0	0	1	0
ENSG00000201184	0	0	3	0	0	0	0	0
ENSG00000201185	0	0	0	0	0	0	0	0
ENSG00000201186	0	0	0	0	0	0	0	0
ENSG00000201196	0	0	0	0	0	0	0	0
ENSG00000201198	0	0	0	0	0	0	0	0
ENSG00000201201	3	4	0	1	2	0	1	2
ENSG00000201207	0	0	0	0	0	0	0	0
ENSG00000201208	2	4	14	12	8	6	5	6
ENSG00000201209	0	0	0	0	0	0	0	0
ENSG00000201210	0	0	0	0	0	0	0	0
ENSG00000201216	0	0	0	0	0	0	0	0
ENSG00000201217	3	11	16	18	5	6	11	8
ENSG00000201218	0	0	0	0	0	0	0	0
ENSG00000201221	0	0	0	0	1	0	0	0
ENSG00000201223	2	2	2	6	1	0	5	2
ENSG00000201228	0	0	1	0	2	0	0	0
ENSG00000201229	0	0	0	0	0	0	1	1
ENSG00000201231	0	0	0	0	0	0	0	0
ENSG00000201239	0	0	0	0	0	0	0	0
ENSG00000201240	0	0	0	0	0	0	0	0
ENSG00000201241	0	0	0	0	0	0	0	0
ENSG00000201242	0	0	0	0	0	0	0	0
ENSG00000201243	0	0	0	0	0	0	0	0
ENSG00000201245	0	0	0	0	0	0	0	0
ENSG00000201247	0	0	0	0	0	0	0	0
ENSG00000201253	0	0	0	0	0	0	0	0
ENSG00000201255	0	0	0	0	0	0	0	0
ENSG00000201260	0	0	0	0	0	0	0	0
ENSG00000201263	0	0	0	0	0	0	0	0
ENSG00000201264	7	7	8	12	10	10	14	9
ENSG00000201270	0	0	0	0	0	0	0	0
ENSG00000201271	0	0	0	0	0	0	0	0
ENSG00000201273	0	0	0	0	0	0	0	0
ENSG00000201274	0	0	0	0	0	0	0	0
ENSG00000201277	0	0	0	0	0	0	0	0
ENSG00000201279	1	0	0	0	0	0	1	0
ENSG00000201282	0	0	0	0	0	0	0	0
ENSG00000201285	0	0	0	0	0	0	0	0
ENSG00000201287	0	0	0	0	0	0	0	0
ENSG00000201288	0	0	0	0	0	0	0	0
ENSG00000201289	0	0	0	0	0	0	0	0
ENSG00000201291	0	0	0	0	0	0	0	0
ENSG00000201292	0	0	1	0	0	0	0	0
ENSG00000201294	0	0	0	0	0	0	0	0
ENSG00000201296	0	0	0	0	0	0	0	0
ENSG00000201297	0	1	0	0	0	0	0	0
ENSG00000201298	0	0	0	0	0	0	0	0
ENSG00000201300	0	0	0	0	0	0	0	0
ENSG00000201301	0	0	0	0	0	0	0	0
ENSG00000201302	11	11	24	17	10	18	17	15
ENSG00000201308	0	0	0	0	0	0	0	0
ENSG00000201309	0	0	0	0	0	0	0	0
ENSG00000201311	0	0	0	0	0	0	0	0
ENSG00000201312	0	0	0	0	0	0	0	0
ENSG00000201314	0	0	0	0	0	0	0	0
ENSG00000201315	0	0	0	0	0	0	0	0
ENSG00000201316	1	0	0	0	0	0	0	0
ENSG00000201317	0	0	0	0	1	0	0	1
ENSG00000201318	0	0	0	0	0	0	0	0
ENSG00000201321	0	0	0	0	0	0	0	0
ENSG00000201324	0	0	0	0	0	0	0	0
ENSG00000201325	0	0	0	0	0	0	0	0
ENSG00000201326	0	0	0	0	0	0	0	0
ENSG00000201329	0	0	0	0	0	0	0	0
ENSG00000201330	0	0	0	0	0	0	0	0
ENSG00000201331	0	0	0	0	0	0	0	0
ENSG00000201339	0	0	0	0	0	0	0	0
